step_index,timestamp_s,mode,contact_pressure_pa,platen_angular_speed_rad_s,head_angular_speed_rad_s,relative_velocity_m_s,slurry_availability,interface_temperature_k,pressure_velocity_exposure,pad_surface_activity,pad_remaining_life,dresser_effectiveness,instantaneous_mrr_m_s,cumulative_removal_m,active_polish_time_s,stage_average_mrr_m_s,thermal_energy_residual_w
1,0.01,PREPARE,1000.0,0.4,0.4,0.08,0.024999999999999998,293.15,0.001659363787624316,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2,0.02,PREPARE,2000.0,0.8,0.7733333333333334,0.160012500325559,0.049374999999999995,293.15,0.006637973715186416,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3,0.03,PREPARE,3000.0,1.2000000000000002,1.121777777777778,0.24007171084776896,0.073140625,293.15,0.014938736378017632,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,0.04,PREPARE,4000.0,1.6,1.4469925925925928,0.3202058072315756,0.096312109375,293.15,0.026566896055354443,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
5,0.05,PREPARE,5000.0,2.0,1.7505264197530868,0.4004377642229613,0.118904306640625,293.15,0.04152949532180161,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
6,0.06,PREPARE,6000.0,2.4,2.0338246584362145,0.4807860803690194,0.1409316989746094,293.15,0.05983492585186387,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
7,0.07,PREPARE,7000.0,2.7733333333333334,2.2982363478738,0.5558119806253893,0.16240840650024416,293.15,0.08070074892053289,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8,0.08,PREPARE,8000.0,3.121777777777778,2.54502059134888,0.6258552235967678,0.18334819633773805,293.15,0.1038521494331996,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9,0.09,PREPARE,9000.0,3.4469925925925926,2.7753525519256215,0.6912404911529845,0.2037644914292946,293.15,0.12903968695037724,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
10,0.1,PREPARE,10000.0,3.7505264197530863,2.9903290484639133,0.7522742004682913,0.22367037914356222,293.15,0.15603707082763973,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
11,0.11,PREPARE,11000.0,4.033824658436214,3.190973778566319,0.8092440270304528,0.24307861966497316,293.15,0.18463915714827087,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12,0.12,PREPARE,11950.0,4.2982363478738,3.3782421933285645,0.8624193812310477,0.2620016541733488,293.15,0.2137657064621754,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
13,0.13,PREPARE,12852.5,4.54502059134888,3.55302604710666,0.9120522400929606,0.2804516128190151,293.15,0.24314141965523703,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
14,0.14,PREPARE,13709.875,4.7753525519256215,3.716157643966216,0.9583781026033591,0.2984403224985397,293.15,0.27253482091024145,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
15,0.15,PREPARE,14524.38125,4.990329048463914,3.868413801035135,1.001616970832496,0.3159793144360762,293.15,0.3017525409191234,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
16,0.16,PREPARE,15298.1621875,5.1909737785663195,4.010519547632793,1.0419743132216455,0.3330798315751743,293.15,0.33063429216828905,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
17,0.17,PREPARE,16033.254078124999,5.378242193328565,4.143151577790607,1.079641990284459,0.3497528357857949,293.15,0.35904845579131484,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
18,0.18,PREPARE,16731.591374218748,5.553026047106661,4.266941472604566,1.1147991341624013,0.36600901489115006,293.15,0.38688820841882277,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
19,0.19,PREPARE,17395.01180550781,5.716157643966217,4.382478707764262,1.1476129789853053,0.3818587895188713,293.15,0.4140681255517845,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20,0.2,PREPARE,18025.261215232418,5.868413801035136,4.490313460579978,1.1782396417873278,0.39731231978089954,293.15,0.440521205239875,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
21,0.21,PREPARE,18623.9981544708,6.010519547632794,4.590959229874646,1.2068248551691863,0.41237951178637705,293.15,0.4661962623128856,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
22,0.22,PREPARE,19192.798246747258,6.143151577790608,4.6848952812163365,1.2335046536288279,0.4270700239917176,293.15,0.4910556491598981,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
23,0.23,PREPARE,19733.158334409894,6.266941472604567,4.7725689291352476,1.2584060158313823,0.4413932733919247,293.15,0.5150732641497303,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
24,0.24,PREPARE,20246.5004176894,6.382478707764263,4.854397667192898,1.2816474652266083,0.45535844155712657,293.15,0.5382328133057508,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
25,0.25,PREPARE,20734.17539680493,6.490313460579979,4.9307711560467045,1.3033396314408767,0.4689744805181984,293.15,0.5605262948518014,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
26,0.26,PREPARE,21197.466626964684,6.590959229874647,5.002053078976924,1.3235857748230175,0.48225011850524346,293.15,0.5819526797910524,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
27,0.27,PREPARE,21637.59329561645,6.684895281216337,5.0685828737117955,1.3424822764387976,0.49519386554261235,293.15,0.6025167648176419,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
28,0.28,PREPARE,22055.713630835628,6.772568929135248,5.130677348797676,1.3601190957048397,0.5078140189040471,293.15,0.6222281766379715,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
