step_index,time_s,sag_active,grid_voltage_pu,ups_output_voltage_pu,ups_mode,battery_energy_j,motor_speed_rad_s,pump_flow_m3_s,pump_head_pa,pump_operating_point_residual_pa,upw_supply_pressure_pa,upw_tool_flow_m3_s,upw_relief_flow_m3_s,upw_mass_balance_residual_m3_s
0,0.0,False,1.0,1.0,GRID,3600000.0,5.0,0.0,281.43447150124183,0.0,290243.90244157985,0.0001,0.0,-5.23869142510236e-14
1,0.01,False,1.0,1.0,GRID,3600000.0,10.0,0.0,1125.7378860049673,0.0,280725.75848782435,0.0001,0.0,-1.6880222805486234e-13
2,0.02,False,1.0,1.0,GRID,3600000.0,15.0,0.0,2532.9102435111763,0.0,271439.7643809207,0.0001,0.0,-5.2386887145969285e-14
3,0.03,False,1.0,1.0,GRID,3600000.0,20.0,0.0,4502.951544019869,0.0,262380.2579706535,0.0001,0.0,-7.799826323012793e-13
4,0.04,False,1.0,1.0,GRID,3600000.0,25.0,0.0,7035.861787531047,0.0,253541.7151171714,0.0001,0.0,-4.889443342391553e-13
5,0.05,False,1.0,1.0,GRID,3600000.0,30.0,0.0,10131.640974044705,0.0,244918.74643135816,0.0001,0.0,5.005858737510555e-13
6,0.06,False,1.0,1.0,GRID,3600000.0,35.0,0.0,13790.289103560848,0.0,236506.09407341108,0.0001,0.0,1.2223607000726167e-13
7,0.07,False,1.0,1.0,GRID,3600000.0,40.0,0.0,18011.806176079477,0.0,228298.62837679684,0.0001,0.0,-2.561137066314778e-13
8,0.08,False,1.0,1.0,GRID,3600000.0,45.0,0.0,22796.192191600585,0.0,220291.34476324543,0.0001,0.0,-1.1059455760041581e-13
9,0.09,False,1.0,1.0,GRID,3600000.0,50.0,0.0,28143.44715012419,0.0,212479.36077415943,0.0001,0.0,-6.05359648042994e-13
10,0.1,False,1.0,1.0,GRID,3600000.0,55.0,0.0,34053.57105165026,0.0,204857.91298560798,0.0001,0.0,-7.217749889518871e-13
11,0.11,False,1.0,1.0,GRID,3600000.0,60.0,0.0,40526.56389617882,0.0,197542.2445917502,9.754224459175021e-05,0.0,9.89530235095265e-13
12,0.12,False,1.0,1.0,GRID,3600000.0,65.0,0.0,47562.42568370987,0.0,190736.97170242667,9.073697170242667e-05,0.0,2.328306276076775e-13
