release_cutoff_s,sample_index,source_step_index,source_timestamp_s,reported_timestamp_s,arrival_timestamp_s,arrival_minus_source_s,reported_minus_source_s,released_before_arrival,missing,quality_flags,value
0.03,0,0,0.0,0.0,0.025,0.025,0.0,False,False,TIMESTAMP_JITTERED|DELAYED,299997.8265836356
0.04,1,1,0.01,0.021880290203917505,0.035,0.025,0.011880290203917504,False,False,TIMESTAMP_JITTERED|DELAYED,300004.02107774565
0.05,2,2,0.02,0.0,0.045,0.024999999999999998,-0.02,False,False,TIMESTAMP_JITTERED|DELAYED,300000.7197925058
0.06,3,3,0.03,0.04252658525049191,0.055,0.025,0.012526585250491912,False,False,TIMESTAMP_JITTERED|DELAYED,300001.8775417258
0.07,4,4,0.04,0.062381708264905696,0.065,0.025,0.022381708264905695,False,False,TIMESTAMP_JITTERED|DELAYED,300004.9632758343
0.08,5,5,0.05,0.04353862849670267,0.07500000000000001,0.02500000000000001,-0.006461371503297335,False,True,TIMESTAMP_JITTERED|DELAYED|MISSING|DROPPED,
0.09,6,6,0.06,0.05214104743417218,0.08499999999999999,0.024999999999999994,-0.007858952565827818,False,False,TIMESTAMP_JITTERED|DELAYED,300009.0669120634
0.1,7,7,0.07,0.09035754092775558,0.095,0.024999999999999994,0.020357540927755574,False,False,TIMESTAMP_JITTERED|DELAYED,300006.43914149614
0.11,8,8,0.08,0.09721618640922028,0.10500000000000001,0.02500000000000001,0.017216186409220277,False,False,TIMESTAMP_JITTERED|DELAYED,300005.9772699621
0.12,9,9,0.09,0.09760148751164767,0.11499999999999999,0.024999999999999994,0.007601487511647673,False,False,TIMESTAMP_JITTERED|DELAYED,300006.1964380008
0.13,10,10,0.1,0.09412596700662874,0.125,0.024999999999999994,-0.0058740329933712615,False,True,TIMESTAMP_JITTERED|DELAYED|MISSING|DROPPED,
0.14,11,11,0.11,0.10904916444965877,0.135,0.02500000000000001,-0.000950835550341228,False,False,TIMESTAMP_JITTERED|DELAYED,300012.53658244637
0.15,12,12,0.12,0.15947473816344163,0.145,0.024999999999999994,0.03947473816344163,False,False,TIMESTAMP_JITTERED|DELAYED,300008.3280572198
0.16,13,13,0.13,0.12883462795108375,0.155,0.024999999999999994,-0.0011653720489162578,False,False,TIMESTAMP_JITTERED|DELAYED,300015.0861159314
0.17,14,14,0.14,0.15521312239925633,0.165,0.024999999999999994,0.015213122399256318,False,False,TIMESTAMP_JITTERED|DELAYED,300012.7065090805
0.18,15,15,0.15,0.14072586628857606,0.175,0.024999999999999994,-0.009274133711423937,False,False,TIMESTAMP_JITTERED|DELAYED,300013.57027595985
0.19,16,16,0.16,0.14033478996695423,0.185,0.024999999999999994,-0.019665210033045777,False,False,TIMESTAMP_JITTERED|DELAYED,300017.51921969914
0.2,17,17,0.17,0.18485678387553922,0.195,0.024999999999999994,0.014856783875539209,False,False,TIMESTAMP_JITTERED|DELAYED,300018.9302434592
0.21,18,18,0.18,0.18868699178050571,0.205,0.024999999999999994,0.00868699178050572,False,False,TIMESTAMP_JITTERED|DELAYED,300017.0423900513
0.22,19,19,0.19,0.1756582424092791,0.215,0.024999999999999994,-0.0143417575907209,False,False,TIMESTAMP_JITTERED|DELAYED,300018.7161860105
0.23,20,20,0.2,0.1647683811456981,0.225,0.024999999999999994,-0.0352316188543019,False,False,TIMESTAMP_JITTERED|DELAYED,300017.9468430897
0.24,21,21,0.21,0.20150759280599193,0.235,0.024999999999999994,-0.008492407194008067,False,True,TIMESTAMP_JITTERED|DELAYED|MISSING|DROPPED,
0.25,22,22,0.22,0.23425318213186527,0.245,0.024999999999999994,0.014253182131865272,False,False,TIMESTAMP_JITTERED|DELAYED,300026.25302445726
0.26,23,23,0.23,0.24376972178189985,0.255,0.024999999999999994,0.013769721781899835,False,False,TIMESTAMP_JITTERED|DELAYED,300024.18541721837
0.27,24,24,0.24,0.22635224264215031,0.265,0.025000000000000022,-0.013647757357849677,False,False,TIMESTAMP_JITTERED|DELAYED,300024.72761164326
0.28,25,25,0.25,0.23296168423057823,0.275,0.025000000000000022,-0.017038315769421775,False,False,TIMESTAMP_JITTERED|DELAYED,300026.99935848097
0.29,26,26,0.26,0.24605784263475952,0.28500000000000003,0.025000000000000022,-0.013942157365240487,False,False,TIMESTAMP_JITTERED|DELAYED,300023.1693924953
0.3,27,27,0.27,0.26485194866209866,0.29500000000000004,0.025000000000000022,-0.00514805133790136,False,False,TIMESTAMP_JITTERED|DELAYED,300023.52501500765
0.31,28,28,0.28,0.3076495893276891,0.30500000000000005,0.025000000000000022,0.027649589327689073,False,False,TIMESTAMP_JITTERED|DELAYED,300027.825167363
0.32,29,29,0.29,0.23266196980501236,0.315,0.025000000000000022,-0.05733803019498762,False,False,TIMESTAMP_JITTERED|DELAYED,300026.8979359475
0.33,30,30,0.3,0.3257217170765188,0.325,0.025000000000000022,0.025721717076518824,False,False,TIMESTAMP_JITTERED|DELAYED,300033.74939698185
0.34,31,31,0.31,0.3548499827152378,0.335,0.025000000000000022,0.044849982715237824,False,False,TIMESTAMP_JITTERED|DELAYED,300031.3450138126
0.35000000000000003,32,32,0.32,0.31760263570892194,0.34500000000000003,0.025000000000000022,-0.0023973642910780635,False,False,TIMESTAMP_JITTERED|DELAYED,300032.1806962118
0.36,33,33,0.33,0.30757863932356533,0.35500000000000004,0.025000000000000022,-0.022421360676434687,False,False,TIMESTAMP_JITTERED|DELAYED,300032.70929398364
0.37,34,34,0.34,0.35265907002723973,0.36500000000000005,0.025000000000000022,0.012659070027239705,False,False,TIMESTAMP_JITTERED|DELAYED,300036.66157711955
